維修時間,維修單號,送修機台序號,業者,車號,維修人員,送修原因,維修結果,燒機測試LOG,更換料件項目,備註
2021/7/12,P20210706002,BVORB1350033,亞通客運,,張育淮,無法刷卡,卡機KEYLOSS，更換卡機,BV2-Stress_BV20210724001_20210101000257.csv,,與整新機115更換
2021/7/12,P20210706002,BVORB11A0006,亞通客運,,張育淮,螢幕淡化NG，語音聲小,"1.更換LCM
2.更換放大器，C板語音線斷補焊",BV2-Stress_BV20210724002_20210101000520.csv,,與整新機134更換
2021/7/12,P20210706002,BVORB1320003,亞通客運,,張育淮,語音卡，NG,"1.更換LCM
2.更換放大器",BV2-Stress_BV20210724003_20210101000031.csv,,與整新機121更換
2021/7/12,P20210706002,DCORB20210706,亞通客運,,張育淮,GPS閉鎖，螢幕淡化,"1.更換LCM
2.DB9公座接觸不良",BV2-Stress_BV20210724001_20210101000257.csv,,與整新機更換
2021/7/19,P20210709002,BVCIB1210153,嘉義客運,,張育淮,gps不定位、無法傳輸,"1. 測試無異常
2. 更換LCM
3. 更換RTC電池",BV2-Stress_BV220210719005_20210101001232.csv,,單換
2021/7/19,P20210709002,BVCIB1210093,嘉義客運,,張育淮,無法登出及傳輸,"1. 測試無異常
2. 更換RTC電池",BV220210719008.csv,,單換
2021/7/19,P20210709002,BVCIB1210072,嘉義客運,,張育淮,找不到讀卡機,"1. C板讀卡機的RS232通訊線路斷線
2. RTC電池沒電，更換電池",BV220210719010.csv,,單換
2021/7/19,P20210709002,BVCIB1210053,嘉義客運,,張育淮,無法登出及定位,送修原因測試無異常,BV2-Stress_BV220210719006_20210101000717.csv,,
2021/7/19,P20210709002,BVCIB1210151,嘉義客運,,張育淮,無法登出及定位,"1. 測試無異常
2. RTC電池沒電，更換電池",BV220210719003.csv,,單換
2021/7/19,P20210709002,BVCIB1210064,嘉義客運,,張育淮,無法登出及定位,送修原因測試無異常,BV2-Stress_BV220210719004_20210101000046.csv,,
2021/7/19,P20210709002,BVCIB1210148,嘉義客運,,張育淮,無法登出，數字跳很快,"1. 測試無異常
2. RTC電池沒電，更換電池",BV220210719002.csv,,單換
2021/7/19,P20210709002,BVCIB1210015,嘉義客運,,張育淮,無法傳輸及定位、字幕太暗,測試無異常，更換LCM,BV2-Stress_BV220210719007_20210101000746.csv,,單換
2021/7/19,P20210709002,BVCIB1210157,嘉義客運,,張育淮,找不到cf卡,送修原因測試無異常,BV220210719001.csv,,
2021/7/19,P20210709002,BVCIB1210011,嘉義客運,,張育淮,一卡通無法使用,一卡通卡槽蓋脫落,BV220210719009.csv,,單換
2021/7/19,P20210709002,DCCIB20200421,嘉義客運,,張育淮,背光不亮,更換LCM,BV220210719003.csv,,"1.單換
2.與BVCIB1210151配對燒機"
2021/7/19,P20210709002,DCCIB1210023,嘉義客運,,張育淮,按鍵1、2故障,更換DC上蓋板,BV220210719001.csv,,"1.單換
2.與BVCIB1210157配對燒機"
2021/7/19,P20210709002,DCCIB2021070901,嘉義客運,,張育淮,gps不定位,送修原因測試無異常,BV220210719002.csv,,"1.單換
2.與BVCIB1210148配對燒機"
2021/7/26,P20210715002,BVORB11A0015,亞通客運,,張育淮,無法正常定位,"1.測試無異常
2.更換LCM
3.RTC電池沒電，更換電池",BVORB11A0015.csv,,單換
2021/7/26,P20210715002,BVORB1350023,亞通客運,,張育淮,無法登出，營收未上傳,"1.SOM板異常
2.更換LCM
3.RTC電池沒電，更換電池",BVORB1350023.csv,,單換
2021/7/26,P20210721003,BVORB1320005,亞通客運,,張育淮,(業者未寫),"1.測試無異常
2.RTC電池沒電，更換電池",BVORB1320005.csv,,單換
2021/7/26,P20210721003,DCORB2021072101,亞通客運,,張育淮,(業者未寫),更換LCM,BVORB11A0015.csv,,"1.單換
2.與BVORB11A0015配對燒機"
2021/7/28,P20210716001,BVCIB1210082,嘉義客運,,張育淮,找不到CF卡,送修原因測試無異常,BV2-Stress_BVCIB1210082_20210101001343.csv,,
2021/7/28,P20210716001,BVCIB1210002,嘉義客運,,張育淮,保險絲沒斷，但無電源,"1.Power板無12V輸出，更換Power板
2.RTC電池沒電，更換電池
3.BV上蓋板鎖點斷，更換上蓋板",BV2-Stress_BVCIB1210002_20210101000804.csv,,單換
2021/7/28,P20210716001,BVCIB1210047,嘉義客運,,張育淮,無法登出(數字跳很快),送修原因測試無異常,BVCIB1210047.csv,,
